SNCZI,ResID,DAM_NAME,YEAR,LON,LAT,LisfloodX,LisfloodY,Vc,Vf,Qmin,Qnd,Vn,Qn,CAP_MCM,CATCH_SKM
10,3187,LA ACEÑA,1989,-4.224583,40.61625,-4.225,40.60833,1.0000000000000001e-07,9.7e-07,0.22,4.04,5e-07,0.4,23.7,60.01258
25,3277,EL AGRIO,1977,-6.285417,37.537083,-6.275,37.525,1.0000000000000001e-07,9.7e-07,0.12,4.97,5e-07,0.27,40.0,247.722496
33,3190,AGUEDA,1931,-6.480417,40.529583,-6.49167,40.50833,1.0000000000000001e-07,9.7e-07,0.9,26.96,5e-07,1.82,22.4,801.415424
36,173,AGUILAR DE CAMPOO,1963,-4.29125,42.799583,-4.29167,42.79167,1.0000000000000001e-07,9.7e-07,1.73,20.32,5e-07,3.42,247.0,554.384512
52,169,ALANGE,1992,-6.270417,38.78625,-6.275,38.79167,1.0000000000000001e-07,9.7e-07,0.64,61.06,5e-07,3.71,852.0,2507.140096
53,165,ALARCON,0,-2.112083,39.570417,-2.10833,39.575,1.0000000000000001e-07,9.7e-07,2.83,42.37,5e-07,6.09,1118.0,2945.070848
58,3123,ALBARELLOS,1971,-8.195417,42.400417,-8.19167,42.40833,1.0000000000000001e-07,9.7e-07,0.55,22.45,5e-07,1.82,90.7,203.179344
68,16,ALCALA DEL RIO,0,-5.95969177,37.51388061,-5.975,37.525,1.0000000000000001e-07,9.7e-07,0.0,749.0,5e-07,7.5,21.0,47278.1824
79,3172,ALCORLO,1978,-3.024583,41.012083,-3.025,41.00833,1.0000000000000001e-07,9.7e-07,0.52,5.98,5e-07,0.85,180.0,380.753312
84,3162,ALDEADAVILA,1963,-6.68375,41.214583,-6.69167,41.20833,1.0000000000000001e-07,9.7e-07,39.41,1057.01,5e-07,180.94,114.8,72062.533632
93,3255,ALFONSO XIII,1915,-1.599583,38.22125,-1.60833,38.20833,1.0000000000000001e-07,9.7e-07,0.0,5.18,5e-07,0.47,21.6,828.23808
110,3120,ALLOZ,1930,-1.945417,42.707917,-1.94167,42.70833,1.0000000000000001e-07,9.7e-07,0.71,9.78,5e-07,1.37,84.3,189.359104
116,177,ALMENDRA,1970,-6.32375,41.274583,-6.30833,41.275,1.0000000000000001e-07,9.7e-07,0.62,76.95,5e-07,10.21,2586.0,7016.914944
132,3245,AMADORIO,1957,-0.265417,38.537083,-0.25833,38.54167,1.0000000000000001e-07,9.7e-07,0.02,1.61,5e-07,0.23,15.8,217.590224
151,3102,AÑARBE,1976,-1.87875,43.21625,-1.85833,43.225,1.0000000000000001e-07,9.7e-07,1.08,14.06,5e-07,2.86,50.4,57.678612
153,3262,ARACENA,1969,-6.450417,37.907917,-6.45833,37.90833,1.0000000000000001e-07,9.7e-07,0.28,14.51,5e-07,0.82,129.0,400.901152
160,3095,ARBON,1967,-6.724583,43.477917,-6.725,43.475,1.0000000000000001e-07,9.7e-07,8.06,145.46,5e-07,19.53,32.8,2530.85824
171,3204,ARENOS,1978,-0.549583,40.087083,-0.55833,40.09167,1.0000000000000001e-07,9.7e-07,1.66,10.39,5e-07,2.86,137.7,1433.60192
174,3258,ARGOS,1970,-1.737083,38.170417,-1.74167,38.175,1.0000000000000001e-07,9.7e-07,0.0,0.1,5e-07,0.03,11.2,459.722304
179,3130,ARLANZON,1933,-3.339583,42.26375,-3.34167,42.25833,1.0000000000000001e-07,9.7e-07,0.23,2.05,5e-07,0.38,22.4,104.450336
183,3192,ARQUILLO DE SAN BLAS,1960,-1.207917,40.36375,-1.20833,40.35833,1.0000000000000001e-07,9.7e-07,0.88,5.94,5e-07,1.66,22.0,827.442944
217,159,EL ATAZAR,1972,-3.474583,40.912917,-3.49167,40.90833,1.0000000000000001e-07,9.7e-07,1.0,34.9,5e-07,2.89,426.0,932.238848
231,3217,AZUTAN,1969,-5.090417,39.777083,-5.09167,39.775,1.0000000000000001e-07,9.7e-07,0.3,457.65,5e-07,52.85,113.0,34858.278912
234,3752,LA BAELLS,1976,1.879583,42.124583,1.875,42.125,1.0000000000000001e-07,9.7e-07,1.2,10.74,5e-07,2.07,115.4,504.41824
255,145,BAO,1960,-7.16625,42.24375,-7.15833,42.225,1.0000000000000001e-07,9.7e-07,1.44,43.51,5e-07,3.53,238.0,721.76384
256,32,BARASONA,0,0.298494939,42.13947929,0.30833,42.125,1.0000000000000001e-07,9.7e-07,4.0,53.0,5e-07,8.1,85.0,1516.723712
257,3302,BARBATE,1992,-5.74125,36.37875,-5.74167,36.375,1.0000000000000001e-07,9.7e-07,0.27,19.33,5e-07,0.8,231.0,362.01584
261,144,BARCENA,1960,-6.55875,42.577917,-6.55833,42.575,1.0000000000000001e-07,9.7e-07,2.1,37.3,5e-07,5.0,341.0,829.613952
284,3115,BARRIE DE LA MAZA,1958,-8.79625,42.865417,-8.79167,42.85833,1.0000000000000001e-07,9.7e-07,4.62,158.03,5e-07,15.79,31.5,1448.799616
285,174,BARRIOS DE LUNA,1956,-5.86625,42.85375,-5.85833,42.85833,1.0000000000000001e-07,9.7e-07,1.24,24.9,5e-07,3.9,308.0,486.024768
312,141,BELESAR,0,-7.71625,42.63125,-7.725,42.64167,1.0000000000000001e-07,9.7e-07,10.67,308.88,5e-07,31.96,655.0,4322.945024
314,3237,BELLUS,1995,-0.477917,38.93875,-0.475,38.94167,1.0000000000000001e-07,9.7e-07,0.17,6.32,5e-07,0.58,69.2,492.540448
316,12,BEMBEZAR,1963,-5.242151201,37.93784054,-5.225,37.90833,1.0000000000000001e-07,9.7e-07,0.2,38.0,5e-07,1.3,342.1,1646.661888
319,162,BENAGEBER,1955,-1.099583,39.72875,-1.09167,39.725,1.0000000000000001e-07,9.7e-07,3.68,25.25,5e-07,7.5,221.0,4264.304128
324,3238,BENIARRES,1958,-0.355417,38.814583,-0.35833,38.80833,1.0000000000000001e-07,9.7e-07,0.1,5.36,5e-07,0.45,29.5,463.919168
328,3294,BENINAR,1983,-3.02625,36.87875,-3.025,36.875,1.0000000000000001e-07,9.7e-07,0.01,4.45,5e-07,0.48,70.0,535.167072
333,3290,LOS BERMEJALES,1958,-3.895417,36.99625,-3.89167,36.99167,1.0000000000000001e-07,9.7e-07,0.16,5.54,5e-07,0.49,104.0,282.895296
342,3293,BEZNAR,1986,-3.54125,36.91625,-3.54167,36.90833,1.0000000000000001e-07,9.7e-07,0.13,6.61,5e-07,0.59,56.5,356.837664
351,3747,BOADELLA,1968,2.829583,42.345417,2.825,42.34167,1.0000000000000001e-07,9.7e-07,0.35,3.85,5e-07,0.56,62.0,183.039296
356,3193,BOLARQUE,1910,-2.817917,40.362917,-2.825,40.35833,1.0000000000000001e-07,9.7e-07,8.72,77.43,5e-07,15.54,30.7,7407.744512
358,3270,LA BOLERA,1967,-2.902083,37.76625,-2.90833,37.75833,1.0000000000000001e-07,9.7e-07,0.18,3.17,5e-07,0.35,54.7,176.388624
365,3200,BORBOLLON,1954,-6.577083,40.12875,-6.575,40.125,1.0000000000000001e-07,9.7e-07,0.31,10.14,5e-07,0.71,85.0,315.094272
369,3298,BORNOS,1961,-5.759583,36.795417,-5.75833,36.79167,1.0000000000000001e-07,9.7e-07,0.0,1.14,5e-07,0.04,215.4,1346.62592
380,146,LA BREÑA II,1935,-5.04375,37.82875,-5.04167,37.84167,1.0000000000000001e-07,9.7e-07,0.17,484.84,5e-07,36.75,823.0,1505.337856
386,3121,BUBAL,1971,-0.31625,42.682917,-0.30833,42.675,1.0000000000000001e-07,9.7e-07,0.99,18.23,5e-07,2.3,64.3,290.5168
400,3160,BURGOMILLODO,1953,-3.882917,41.337083,-3.89167,41.34167,1.0000000000000001e-07,9.7e-07,1.33,21.95,5e-07,2.37,14.5,837.501504
401,154,EL BURGUILLO,1913,-4.537083,40.424583,-4.54167,40.425,1.0000000000000001e-07,9.7e-07,0.65,19.65,5e-07,2.17,201.0,1044.33856
427,3274,CALA,1927,-6.09125,37.719583,-6.09167,37.725,1.0000000000000001e-07,9.7e-07,0.22,15.11,5e-07,0.92,58.8,512.41456
430,3181,CALANDA,1982,-0.212083,40.914583,-0.20833,40.90833,1.0000000000000001e-07,9.7e-07,3.21,27.99,5e-07,5.45,54.8,2667.128064
442,3251,CAMARILLAS,1960,-1.647917,38.34125,-1.64167,38.34167,1.0000000000000001e-07,9.7e-07,0.13,17.01,5e-07,2.67,35.8,2743.11808
461,3114,CAMPORREDONDO,1930,-4.734583,42.90375,-4.74167,42.89167,1.0000000000000001e-07,9.7e-07,1.09,11.97,5e-07,2.01,72.4,254.347664
474,3287,CANALES,1988,-3.47875,37.160417,-3.475,37.15833,1.0000000000000001e-07,9.7e-07,0.25,6.41,5e-07,0.61,71.0,191.760256
571,3763,CASPE II,1989,0.000417,41.137083,-0.00833,41.14167,1.0000000000000001e-07,9.7e-07,3.31,33.2,5e-07,6.48,81.6,3659.313664
589,3213,CASTREJON,1967,-4.29125,39.84125,-4.29167,39.84167,1.0000000000000001e-07,9.7e-07,3.35,352.47,5e-07,42.04,41.0,27201.09568
592,3129,CASTRELO,1969,-8.11625,42.295417,-8.10833,42.29167,1.0000000000000001e-07,9.7e-07,29.65,804.66,5e-07,85.68,60.2,13435.67872
593,3153,CASTRO,1952,-6.185417,41.577083,-6.19167,41.575,1.0000000000000001e-07,9.7e-07,36.89,955.51,5e-07,166.97,28.0,63380.959232
594,3184,CASTRO DE LAS COGOTAS,1993,-4.699583,40.724583,-4.69167,40.725,1.0000000000000001e-07,9.7e-07,0.58,11.06,5e-07,1.53,58.6,838.270016
609,3099,CECEBRE,1976,-8.29625,43.282083,-8.29167,43.275,1.0000000000000001e-07,9.7e-07,0.7,17.52,5e-07,1.72,21.7,233.258048
611,155,CEDILLO,1975,-7.53875,39.66625,-7.54167,39.65833,1.0000000000000001e-07,9.7e-07,6.53,1043.2,5e-07,98.92,260.0,58571.3664
616,3304,CELEMIN,1972,-5.774583,36.30375,-5.775,36.30833,1.0000000000000001e-07,9.7e-07,0.12,5.7,5e-07,0.28,43.0,96.902872
620,148,EL CENAJO,1960,-1.77875,38.36625,-1.775,38.35833,1.0000000000000001e-07,9.7e-07,0.56,27.05,5e-07,3.72,437.0,2592.900864
623,3132,CENZA,0,-7.1442,42.1141,-0.00833,22.75833,1.0000000000000001e-07,9.7e-07,0.18,4.8,5e-07,0.35,43.0,
629,172,CERNADILLA,1969,-6.462083,42.020417,-6.475,42.025,1.0000000000000001e-07,9.7e-07,0.99,25.25,5e-07,2.6,255.0,564.09504
647,3131,CHANDREJA,1953,-7.389583,42.262083,-7.39167,42.25833,1.0000000000000001e-07,9.7e-07,0.35,9.92,5e-07,0.74,60.6,124.856752
648,168,CHANZA,1989,-7.520417,37.562083,-7.50833,37.575,1.0000000000000001e-07,9.7e-07,2.21,1063.75,5e-07,90.39,341.0,2150.713088
659,3305,CHARCO REDONDO,1983,-5.54125,36.237083,-5.54167,36.24167,1.0000000000000001e-07,9.7e-07,0.12,4.9,5e-07,0.24,81.5,91.381368
686,170,CIJARA,1956,-5.01625,39.37875,-4.99167,39.375,1.0000000000000001e-07,9.7e-07,1.32,276.05,5e-07,30.84,1505.0,24573.02016
692,3761,CIURANA,1972,0.914583,41.25375,0.90833,41.24167,1.0000000000000001e-07,9.7e-07,0.09,1.02,5e-07,0.17,12.5,80.133256
701,3104,LA COHILLA,1950,-4.38875,43.132083,-4.39167,43.125,1.0000000000000001e-07,9.7e-07,0.49,6.02,5e-07,1.04,12.3,87.940184
716,3116,COMPUERTO,1960,-4.827917,42.862083,-4.825,42.85833,1.0000000000000001e-07,9.7e-07,1.59,17.23,5e-07,2.9,96.7,314.857312
722,3301,LA CONCEPCION,1971,-4.962083,36.537083,-4.95833,36.54167,1.0000000000000001e-07,9.7e-07,0.25,9.51,5e-07,0.52,61.0,146.143504
724,3141,LAS CONCHAS,1949,-8.03125,41.949583,-8.025,41.94167,1.0000000000000001e-07,9.7e-07,1.16,65.08,5e-07,4.39,80.0,858.286912
731,164,CONTRERAS,0,-1.502917,39.545417,-1.525,39.54167,1.0000000000000001e-07,9.7e-07,4.64,36.5,5e-07,7.71,852.0,3287.791104
741,3228,CORTES II,1988,-0.92625,39.239583,-0.925,39.25833,1.0000000000000001e-07,9.7e-07,6.58,141.7,5e-07,25.39,136.0,16387.144704
785,171,CUERDA DEL POZO,1941,-2.70375,41.875417,-2.725,41.875,1.0000000000000001e-07,9.7e-07,0.98,10.51,5e-07,1.63,249.0,283.933408
790,3177,CUEVA FORADADA,1926,-0.695417,40.98375,-0.69167,40.99167,1.0000000000000001e-07,9.7e-07,0.5,4.74,5e-07,1.23,26.3,808.70176
793,3281,CUEVAS DE ALMANZORA,1986,-1.899583,37.32875,-1.89167,37.325,1.0000000000000001e-07,9.7e-07,0.0,9.55,5e-07,0.59,190.7,2143.240704
829,3098,DOIRAS,1934,-6.82875,43.38625,-6.825,43.39167,1.0000000000000001e-07,9.7e-07,7.45,136.19,5e-07,17.75,114.7,2308.390656
844,19,EBRO,1945,-4.039554945,42.96322473,-4.04167,42.975,1.0000000000000001e-07,9.7e-07,1.5,34.0,5e-07,3.0,541.0,475.57328
848,3126,EIRAS,1977,-8.487917,42.34875,-8.49167,42.34167,1.0000000000000001e-07,9.7e-07,0.95,37.23,5e-07,3.0,22.2,147.464336
856,3229,EMBARCADEROS,1952,-1.037083,39.24125,-1.04167,39.24167,1.0000000000000001e-07,9.7e-07,6.56,140.39,5e-07,25.12,11.0,16238.078976
863,3259,ENCINAREJO,1932,-3.992083,38.16625,-3.99167,38.15833,1.0000000000000001e-07,9.7e-07,1.41,46.74,5e-07,4.26,15.0,2429.030656
869,158,ENTREPEÑAS,1956,-2.74625,40.494583,-2.74167,40.50833,1.0000000000000001e-07,9.7e-07,4.81,34.01,5e-07,8.3,835.0,3839.940352
877,31,ESCALES,1955,0.756468782,42.35673134,0.74167,42.34167,1.0000000000000001e-07,9.7e-07,2.0,38.0,5e-07,3.6,152.0,743.218304
902,3109,EUGUI,1971,-1.51625,42.974583,-1.50833,42.975,1.0000000000000001e-07,9.7e-07,0.44,6.49,5e-07,0.99,21.9,72.961688
903,3097,EUME,1960,-8.010417,43.40625,-8.00833,43.40833,1.0000000000000001e-07,9.7e-07,1.32,32.43,5e-07,3.22,123.0,397.365024
916,151,LA FERNANDINA,1991,-3.570417,38.182917,-3.575,38.19167,1.0000000000000001e-07,9.7e-07,0.2,11.04,5e-07,1.08,245.0,673.345344
917,3107,FERVENZA,1966,-9.00875,42.99125,-9.00833,42.99167,1.0000000000000001e-07,9.7e-07,0.28,31.29,5e-07,2.56,104.0,326.96016
918,3219,FINISTERRE,1977,-3.65375,39.649583,-3.65833,39.64167,1.0000000000000001e-07,9.7e-07,0.0,0.3,5e-07,0.03,133.0,731.906752
923,3762,FLIX,1948,0.53375,41.23375,0.54167,41.225,1.0000000000000001e-07,9.7e-07,98.58,1099.59,5e-07,279.71,11.4,82386.04288
938,3224,FORATA,1969,-0.86625,39.345417,-0.85833,39.34167,1.0000000000000001e-07,9.7e-07,0.37,8.24,5e-07,1.32,37.5,1068.181952
945,3282,FRANCISCO ABELLAN,1998,-3.257917,37.312083,-3.25833,37.30833,1.0000000000000001e-07,9.7e-07,0.13,3.13,5e-07,0.35,58.7,196.845376
956,3135,FRIEIRA,1970,-8.192083,42.15625,-8.175,42.15833,1.0000000000000001e-07,9.7e-07,31.82,883.14,5e-07,92.71,44.4,15107.3792
958,147,FUENSANTA,1933,-2.212083,38.389583,-2.225,38.39167,1.0000000000000001e-07,9.7e-07,0.75,16.15,5e-07,2.05,210.0,1203.999488
970,157,GABRIEL Y GALAN,1961,-6.132917,40.224583,-6.125,40.225,1.0000000000000001e-07,9.7e-07,1.19,32.62,5e-07,3.42,911.0,1845.196928
993,167,GARCIA DE SOLA,1962,-5.18625,39.145417,-5.19167,39.14167,1.0000000000000001e-07,9.7e-07,1.51,290.43,5e-07,32.32,554.0,25961.193472
1019,3231,GASSET,1909,-3.93875,39.132917,-3.94167,39.125,1.0000000000000001e-07,9.7e-07,0.08,12.37,5e-07,1.13,41.7,167.891744
1033,4,GIRIBAILE,1996,-3.488523282,38.12580763,-3.475,38.09167,1.0000000000000001e-07,9.7e-07,0.1,27.0,5e-07,0.7,475.1,2825.901312
1038,3133,GONZALEZ LACASA,1962,-2.674583,42.174583,-2.675,42.175,1.0000000000000001e-07,9.7e-07,0.93,7.85,5e-07,1.43,32.9,45.884336
1047,21,EL GRADO I,0,0.231873173,42.17915086,0.225,42.175,1.0000000000000001e-07,9.7e-07,6.8,93.0,5e-07,13.6,399.0,2137.942656
1062,3299,GUADALCACIN II,1995,-5.78375,36.66875,-5.79167,36.675,1.0000000000000001e-07,9.7e-07,0.32,47.41,5e-07,1.61,800.0,708.1936
1064,2,GUADALEN,1954,-3.496655277,38.17024178,-3.475,38.175,1.0000000000000001e-07,9.7e-07,0.2,15.0,5e-07,0.8,168.0,1336.036864
1065,3242,GUADALEST,1964,-0.195417,38.682917,-0.19167,38.675,1.0000000000000001e-07,9.7e-07,0.01,1.03,5e-07,0.1,13.4,72.440848
1066,3292,GUADALHORCE,1973,-4.80125,36.945417,-4.79167,36.94167,1.0000000000000001e-07,9.7e-07,0.66,58.55,5e-07,2.64,135.4,1107.610752
1068,8,GUADALMELLATO,1928,-4.689060588,38.06039841,-4.675,38.04167,1.0000000000000001e-07,9.7e-07,0.3,33.0,5e-07,1.1,146.6,1220.449152
1070,3,GUADALMENA,1969,-2.898294744,38.37893342,-2.90833,38.35833,1.0000000000000001e-07,9.7e-07,0.3,11.0,5e-07,1.2,346.5,1225.5904
1075,3291,GUADALTEBA,1972,-4.807917,36.949583,-4.80833,36.94167,1.0000000000000001e-07,9.7e-07,0.25,32.19,5e-07,1.5,150.1,474.990976
1078,3303,GUADARRANQUE,1965,-5.46625,36.312083,-5.45833,36.30833,1.0000000000000001e-07,9.7e-07,0.21,7.29,5e-07,0.43,87.0,149.414544
1083,3222,GUADILOBA,1971,-6.29625,39.487917,-6.29167,39.49167,1.0000000000000001e-07,9.7e-07,0.06,4.2,5e-07,0.18,20.4,130.09912
1085,3215,GUAJARAZ,1971,-4.087083,39.79875,-4.09167,39.79167,1.0000000000000001e-07,9.7e-07,0.01,4.45,5e-07,0.4,18.1,359.895584
1145,14,HUESNA,1990,-5.672006747,37.78459941,-5.69167,37.775,1.0000000000000001e-07,9.7e-07,0.1,10.0,5e-07,0.3,134.6,466.350112
1146,3300,LOS HURONES,1964,-5.56375,36.662083,-5.55833,36.65833,1.0000000000000001e-07,9.7e-07,0.4,29.87,5e-07,1.07,135.0,355.339392
1156,3108,IRABIA,1925,-1.157917,42.987083,-1.15833,42.99167,1.0000000000000001e-07,9.7e-07,0.8,11.81,5e-07,1.95,13.6,138.388336
1165,28,ITOIZ,2003,-1.401083874,42.80031302,-1.375,42.80833,1.0000000000000001e-07,9.7e-07,0.7,14.0,5e-07,1.2,417.0,511.237248
1167,13,IZNAJAR,1969,-4.364707146,37.28495809,-4.375,37.275,1.0000000000000001e-07,9.7e-07,0.3,67.0,5e-07,2.2,981.1,4692.184064
1172,6,JANDULA,1932,-3.973379365,38.24629579,-3.975,38.225,1.0000000000000001e-07,9.7e-07,0.6,35.0,5e-07,2.9,322.0,2223.931392
1188,3205,JERTE,1985,-6.042917,40.062083,-6.04167,40.05833,1.0000000000000001e-07,9.7e-07,0.24,7.54,5e-07,0.65,58.5,378.301376
1197,161,ALCANTARA,0,-6.885417,39.732917,-6.875,39.74167,1.0000000000000001e-07,9.7e-07,2.13,785.19,5e-07,82.46,3160.0,51665.256448
1198,3271,JOSE TORAN,1992,-5.487083,37.75375,-5.49167,37.74167,1.0000000000000001e-07,9.7e-07,0.17,6.69,5e-07,0.38,101.2,247.052224
1199,175,PORMA,1968,-5.29125,42.932917,-5.275,42.94167,1.0000000000000001e-07,9.7e-07,1.1,12.63,5e-07,2.25,318.0,226.422816
1226,3119,LANUZA,1978,-0.31625,42.75375,-0.325,42.75833,1.0000000000000001e-07,9.7e-07,0.34,7.24,5e-07,0.75,25.0,113.612952
